// Created with X3 Editor 2 (2.0.27.0)
// Plugin T File Editor (1.1.19.0)
47;37;
180;161;0;0;0;0;2023;2;2;30;30;4;2;0;0;0;SS_WARE_ORE;
180;162;0;0;0;1;2033;3;4;40;40;4;4;0;0;0;SS_WARE_SILICON;
180;164;0;0;0;2;5323;8;8;30;30;4;8;0;0;0;SS_WARE_NIVIDIUM2;
180;161;0;0;0;3;15253;4;24;61;14;4;24;0;0;0;SS_WARE_ICE;
180;1;0;0;0;4;8301;2;32;50;50;4;32;0;0;0;SS_WARE_RED_MINERAL;
180;0;0;0;0;5;8303;3;64;50;50;4;64;0;0;0;SS_WARE_ORANGE_MINERAL;
180;0;0;0;0;6;8305;4;128;50;50;4;128;0;0;0;SS_WARE_PURPLE_MINERAL;
180;0;0;0;0;7;8307;6;256;50;50;4;256;0;0;0;SS_WARE_BLUE_MINERAL;
180;0;0;0;0;8;8309;9;512;50;50;4;512;0;0;0;SS_WARE_GREEN_MINERAL;
180;0;0;0;0;9;8311;12;1024;50;50;4;1024;0;0;0;SS_WARE_SILVER_MINERAL;
180;0;0;0;0;10;8313;15;2048;50;50;4;2048;0;0;0;SS_WARE_GOLD_MINERAL;
180;0;0;0;0;11;8315;22;4096;50;50;4;4096;0;0;0;SS_WARE_WHITE_MINERAL;
180;0;0;0;0;12;5603;2;1024;50;50;4;1024;0;0;0;SS_WARE_RED_CRYSTAL;
180;0;0;0;0;13;5633;3;2048;50;50;4;2048;0;0;0;SS_WARE_YELLOW_CRYSTAL;
180;0;0;0;0;14;5613;5;4096;50;50;4;4096;0;0;0;SS_WARE_BLUE_CRYSTAL;
180;0;0;0;0;15;5623;6;8192;50;50;4;8192;0;0;0;SS_WARE_GREEN_CRYSTAL;
180;0;0;0;0;16;5653;8;16384;50;50;4;16384;0;0;0;SS_WARE_BLACK_CRYSTAL;
27;169;0;0;0;17;2073;1;8;40;40;1;8;0;0;0;SS_WARE_MICROCHIPS;
28;164;0;0;0;18;15243;2;2;60;60;2;2;0;0;0;SS_WARE_CRATION;
26;176;0;0;0;19;2353;1;4;50;50;1;4;0;0;0;SS_WARE_CHELTS;
180;180;0;0;0;20;9070;3;2;40;40;2;2;0;0;0;SS_WARE_CHEMICALS;
27;170;0;0;0;21;2083;1;16;60;60;1;16;0;0;0;SS_WARE_COMPUTER;
27;167;0;0;0;22;2053;2;16;50;50;4;16;0;0;0;SS_WARE_CRYSTALS;
27;166;0;0;0;23;15223;5;4;80;80;3;4;0;0;0;SS_WARE_HULLPLATING;
26;159;0;0;0;24;15183;1;2;20;20;1;2;0;0;0;SS_WARE_PROTEINPASTE;
27;168;0;0;0;25;2063;3;4;70;70;3;4;0;0;0;SS_WARE_QUANTUMTUBES;
28;178;0;0;0;26;2383;3;8;60;60;2;8;0;0;0;SS_WARE_RASTAROIL;
26;404;0;0;0;27;2553;3;4;60;60;2;4;0;0;0;SS_WARE_TELADIANIUM;
180;180;0;0;0;28;9072;2;1;30;30;1;1;0;0;0;SS_WARE_WASTE;
180;180;0;0;0;29;7231;1;2;60;60;1;2;0;0;0;SS_WARE_FISH;
180;180;0;0;0;30;7281;1;2;60;60;1;2;0;0;0;SS_WARE_FRUIT;
180;180;0;0;0;31;7221;1;16;60;60;1;16;0;0;0;SS_WARE_JEWELS;
180;180;0;0;0;32;7241;1;2;60;60;1;2;0;0;0;SS_WARE_MEAT;
180;180;0;0;0;33;7211;3;8;60;60;1;8;0;0;0;SS_WARE_PHARMACEUTICALS;
180;180;0;0;0;34;7311;1;1;60;60;1;1;0;0;0;SS_WARE_SEEDS;
180;180;0;0;0;35;7201;2;4;60;60;1;4;0;0;0;SS_WARE_TEXTILES;
180;180;0;0;0;36;7271;1;2;60;60;1;2;0;0;0;SS_WARE_VEGETABLES;
