// Created with X3 Editor 2 (2.0.27.0)
// Plugin T File Editor (1.1.19.0)
55;38;
effects\weapons\bullet_ire;0;0;0;0;-1;8003;809;6;300;5200;997000;0;48;16;192;0.5;0.5;4.0;0;200;100;404;0;112;0;255;0;0;0;0;0;0;0;0;0;0;133;67;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_IRE;
effects\weapons\bullet_pac;0;0;0;0;-1;8013;1940;9;301;4200;1015000;0;96;16;192;0.5;0.5;3.0;0;200;100;971;0;112;0;255;0;0;0;0;0;0;1;0;0;0;320;160;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PAC;
effects\weapons\bullet_md;575;0;0;0;-1;4953;953;7;302;4400;1005500;0;48;48;48;0.5;0.5;5.0;0;205;105;477;0;112;0;255;0;0;0;0;0;0;0;0;0;0;157;79;42;10000;25;1;0;10000;-100000;0;0;SS_BULLET_MD;
effects\weapons\bullet_prg;0;0;0;0;-1;8033;1463;8;303;3400;1225000;0;192;192;16;0.5;0.5;3.0;0;200;100;732;0;112;0;255;0;0;0;0;0;0;0;0;2;2;241;121;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PRG;
effects\weapons\bullet_ebc;0;0;0;0;-1;8043;1452;7;304;4400;1225000;0;192;192;16;0.5;0.5;4.0;0;206;106;726;0;112;0;255;0;0;0;0;0;0;0;0;0;0;240;120;93;10000;25;1;0;10000;-100000;0;0;SS_BULLET_EBC;
effects\weapons\bullet_fbl;0;0;0;0;-1;8053;1709;8;305;3600;1179000;0;192;192;16;0.4;0.4;4.0;0;200;100;854;0;112;0;255;0;100;5000;0;0;0;44;12;0;0;282;141;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_FBL;
effects\weapons\bullet_hept;0;0;0;0;-1;8063;4946;31;306;5200;1072500;0;48;192;16;0.5;0.5;0.5;0;200;100;2473;0;112;0;255;0;0;0;0;0;0;0;0;0;0;816;408;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_HEPT;
effects\weapons\bullet_id;0;0;0;0;-1;4623;3905;37;307;4000;1130500;0;50;50;255;0.5;0.5;0.5;0;207;107;1302;0;112;0;255;0;15;1000;0;0;0;0;0;0;0;644;215;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_ID;
effects\weapons\bullet_pbe;0;0;0;0;-1;8083;1571;8;308;3500;1225000;0;91;118;129;0.5;0.5;0.5;0;204;104;786;0;112;0;255;0;0;0;0;0;0;0;0;0;0;259;130;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PBE;
effects\weapons\bullet_pbg;0;0;0;0;-1;8093;4610;46;309;3600;1218000;0;200;128;255;0.5;0.5;0.6;0;205;105;2305;0;112;0;255;0;0;0;0;0;0;0;0;2;2;761;380;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PBG;
effects\weapons\bullet_empc;0;0;0;0;-1;8103;2118;18;310;4600;1031500;0;192;192;0;0.5;0.5;1.0;0;206;106;1059;0;112;0;255;0;0;0;0;1000;2000;16;50;0;0;349;175;5;10000;25;1;0;10000;-100000;0;0;SS_BULLET_EMPC;
effects\weapons\bullet_cig;0;0;0;0;0;7933;12001;174;311;8400;717000;0;255;255;255;0.75;0.75;1.0;0;209;109;6001;0;112;0;255;0;0;0;0;0;0;0;0;0;0;1980;990;128;0;0;0;0;0;-100000;0;0;SS_BULLET_CIG;
effects\weapons\bullet_ipg;0;0;0;0;-1;8123;6995;83;312;5000;1243500;0;128;192;16;0.75;0.75;4.0;0;212;112;2332;0;112;0;255;0;20;2000;25;0;0;44;1;0;0;1154;385;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_IPG;
effects\weapons\bullet_isr;0;0;0;0;-1;8133;5632;48;313;4900;1288500;0;128;192;16;0.75;0.75;0.5;0;204;104;1444;0;112;0;255;0;0;0;32;0;0;0;0;0;0;929;238;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_ISR;
effects\weapons\bullet_maml;0;0;0;0;0;8143;3883;35;314;5000;1364000;0;255;255;255;0.75;0.75;1.0;0;209;109;1494;0;112;0;255;0;0;0;0;0;0;0;0;0;0;641;246;91;0;0;0;0;0;-100000;0;0;SS_BULLET_MAML;
effects\weapons\bullet_faa;0;0;0;0;-1;8153;6136;69;315;2200;2973500;0;255;255;255;2.0;2.0;2.0;0;215;115;2360;0;112;0;255;0;12;1000;0;0;0;44;10;0;0;1012;389;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_FAA;
effects\weapons\bullet_cfa;0;0;0;0;-1;8163;7814;93;316;2400;2771000;0;255;255;255;3.0;3.0;3.0;0;216;116;3006;0;112;0;255;0;25;2000;0;0;0;37;2;0;0;1289;496;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_CFA;
effects\weapons\bullet_palc;0;0;0;0;-1;8173;10889;143;317;2800;2740500;0;192;192;192;1.0;1.0;5.0;0;232;132;4188;0;112;0;255;0;0;0;0;0;0;0;0;0;0;1797;691;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PALC;
effects\weapons\bullet_psg;0;0;0;0;-1;8183;3781;31;318;3400;1983500;0;200;128;255;0.75;0.75;2.0;0;209;109;1454;0;112;0;255;0;85;1000;0;0;0;0;0;0;0;624;240;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PSG;
effects\weapons\bullet_scc;0;0;0;0;-1;8193;6885;87;319;2800;2598000;0;255;255;255;2.0;2.0;2.0;0;216;131;2648;0;112;0;255;0;0;0;0;0;0;0;0;0;0;1136;437;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_SSC;
effects\weapons\bullet_ppc;0;0;0;0;-1;8203;13621;331;320;17400;633500;0;192;192;0;1.0;1.0;5.0;0;232;132;6810;0;112;0;255;0;0;0;0;0;0;0;0;4;4;2247;1124;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_PPC;
effects\weapons\bullet_ic;0;0;0;0;-1;8213;14984;343;321;13800;699000;0;192;192;0;1.0;1.0;5.0;0;221;121;4995;0;112;0;255;0;10;2000;20;0;0;0;0;0;0;2472;824;128;10000;25;1;0;10000;-100000;0;0;SS_BULLET_IC;
effects\weapons\bullet_gc;0;0;0;0;-1;8223;3922;79;322;4000;2373500;0;192;192;0;1.0;1.0;2.0;0;226;126;1961;0;112;0;255;0;0;0;0;0;0;44;5;0;0;647;324;94;10000;25;1;0;10000;-100000;0;0;SS_BULLET_GC;
